@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
19,'2022/10/06 15:25:23:904',1,-1,0.866456,-0.251837,-0.130063,-0.011094,0.103494,0.102244,0.119456,-0.07036,0.082287,0.0348,0.030603,-0.005221,0.014787,-0.033899,-0.106566,0.032971,-0.04232,-0.035496,0.039528,-0.008004,0.015714,0.006697,-0.025683,1
20,'2022/10/06 15:25:23:911',1,-1,0.859807,-0.299303,-0.095813,-0.018438,0.098116,0.105816,0.093646,-0.079897,0.080809,0.046899,0.012072,-0.013667,0.031971,-0.025778,-0.101796,0.029568,-0.024032,-0.038072,0.046947,-0.00779,0.017069,0.002929,-0.033006,1
21,'2022/10/06 15:25:23:917',1,-1,0.861217,-0.34364,-0.131103,-0.024874,0.067425,0.07266,0.076213,-0.097791,0.058734,0.035254,-0.014169,-0.00536,0.028789,-0.03856,-0.092681,0.039151,-0.023333,-0.040348,0.051866,-0.002686,0.012719,0.012003,-0.031603,1
22,'2022/10/06 15:25:23:923',1,-1,0.887428,-0.302384,-0.104882,-0.011879,0.084651,0.091168,0.103955,-0.079384,0.074091,0.028653,0.004332,0.000447,0.043366,-0.033834,-0.073502,0.049974,-0.02854,-0.029555,0.058998,-0.003327,0.018798,0.007928,-0.014294,1
23,'2022/10/06 15:25:23:928',1,-1,0.906344,-0.278367,-0.086621,-0.031085,0.111556,0.105862,0.096327,-0.083173,0.090892,0.021318,0.009673,0.000083,0.042003,-0.038156,-0.070628,0.043185,-0.01745,-0.032546,0.060537,-0.001476,0.025195,0.003534,-0.007285,1
24,'2022/10/06 15:25:23:935',1,-1,0.892975,-0.335896,-0.10765,-0.026871,0.056544,0.102148,0.099578,-0.100684,0.084224,0.02883,-0.000786,0.002414,0.031847,-0.02524,-0.074995,0.026826,-0.011967,-0.019854,0.055329,-0.002621,0.020713,0.024493,-0.004849,1
25,'2022/10/06 15:25:23:939',1,-1,0.874239,-0.36131,-0.112539,-0.050642,0.053335,0.098513,0.101314,-0.104576,0.064826,0.032543,-0.004909,0.004138,0.040409,-0.014161,-0.073196,0.037229,-0.02336,-0.033569,0.046542,-0.01288,0.010502,0.028157,-0.008239,1
26,'2022/10/06 15:25:23:946',1,-1,0.885308,-0.353282,-0.111373,-0.054079,0.07914,0.089099,0.097942,-0.097839,0.050751,0.028587,-0.005712,0.002303,0.056144,-0.011107,-0.064893,0.04459,-0.015285,-0.035479,0.051415,-0.009615,0.013419,0.036079,-0.009692,1
27,'2022/10/06 15:25:23:952',1,-1,0.887764,-0.382976,-0.104667,-0.063329,0.067897,0.061323,0.067853,-0.076942,0.018147,0.004036,-0.002357,-0.023197,0.052026,-0.025041,-0.075393,0.051448,-0.037182,-0.025173,0.056868,-0.022763,0.022504,0.033034,0.003301,1
28,'2022/10/06 15:25:23:958',1,-1,0.889739,-0.348424,-0.110642,-0.040759,0.07792,0.069932,0.085473,-0.086225,0.040739,-0.000808,0.009952,-0.017614,0.0387,-0.029141,-0.070206,0.059401,-0.026258,-0.022684,0.055372,-0.01363,0.031599,0.040789,0.016535,1
